email,organization,category,phone,city
secretariat@dentiste-lausanne.net,Cabinet dentaire de Beaumont,Dentiste,+41 21 311 64 45,Lausanne
info@cabdentouchy.ch,Cabinet dentaire d'Ouchy,Cabinet dentaire,+41 21 616 03 78,Lausanne
secretariat@oral-clinic.ch,Oral Clinic by Tétaz,Dentiste,+41 21 311 45 09,Lausanne
info@swiss-aesthetic-dentistry.ch,DENTISTE LAUSANNE | CABINET DENTAIRE | URGENCES DENTAIRES,Dentiste,+41 21 320 43 11,Lausanne
accueil@cabinet-dentaire-chailly.com,Cabinet dentaire Lausanne - Dr vincent Bezos,Dentiste,+41 21 653 36 37,Lausanne
contact@dentistes-lausanne-centre.ch,Clinique Dentaire de Lausanne-Centre,Dentiste,+41 21 311 81 81,Lausanne
contact@dentisterumine.ch,Cabinet Dentaire de Rumine,Cabinet dentaire,+41 21 312 70 10,Lausanne
contact@dr-mercadier.ch,Dr Mercadier esthétique,Chirurgien esthétique,+41 21 324 04 44,Lausanne
institutpeaulys@gmail.com,Institut de beauté Peau Lys,Institut de beauté,+41 79 489 23 68,Lausanne
assistance@ssskin.ch,"SSSKIN | Épilation Laser Définitive, Peeling et Microneedling",Institut de beauté,+41 21 588 02 44,Lausanne
info@lifesmile.ch,Cabinet Dentaire Lifesmile - Lausanne SA,Cabinet dentaire,+41 21 616 77 42,Lausanne
bycelinebultel@gmail.com,Centre esthétique médicalisé by Céline Bultel,Institut de spa et bien-être,+41 78 748 52 76,Lausanne
drstaner@chirurgie-le.ch,Dre Sylvie Staner – Médecine Esthétique Lausanne – Chirurgie Lê,Clinique,+41 21 619 37 38,Lausanne
info@amiiaclinique.ch,Amiia Clinique,Chirurgien esthétique,+41 21 577 63 53,Lausanne
info@belle-fontaine.ch,Clinique Bellefontaine,Clinique de chirurgie plastique,+41 21 601 33 33,Lausanne
contact@sybays.ch,"Centre SYBAYS - Clinique, Institut de Beauté & Spa",Institut de beauté,+41 21 341 70 80,Lausanne
sandraosmic25@gmail.com,Maison Tóā - Clinique esthétique,Institut de beauté,+41 21 791 70 70,Lausanne
info@entourage.ch,Entourage - ma clinique esthétique,Institut de beauté,+41 21 552 60 00,Lausanne
lausanne@adent.ch,Adent | Dentiste Lausanne - Blécherette,Cabinet dentaire,+41 21 644 20 00,Lausanne
info@sublimebeaute.ch,Institut Sublime Beauté,Institut de beauté,+41 76 507 31 49,Lausanne
info@laseris.ch,LASERIS Centre Laser de Dermatologie Esthétique et Médicale,Clinique dermatologique,+41 21 601 09 00,Lausanne
contact@clinique-provence.ch,Clinique dentaire Provence,Dentiste,+41 21 626 03 05,Lausanne
info@cdnlausanne.ch,Centre Dentaire Naharro | Lausanne,Dentiste,+41 21 320 92 84,Lausanne
info@ouchy58.ch,Ouchy 58,Centre d'épilation laser,+41 21 559 41 01,Lausanne
drantic@bluewin.ch,"Zahnarztpraxis Im Holbeinpark - Dr. med. dent. Nenad Antić - Sanfte, moderne Zahnmedizin",Zahnarzt,+41 61 283 80 20,Basel
basel.aesch@zahnarztzentrum.ch,"zahnarztzentrum.ch - Basel Aeschenplatz Zahnarzt, Kieferorthopädie und Dentalhygiene",Zahnarzt,+41 61 276 90 00,Basel
info@zahnarzt-burger.ch,Zahnarztpraxis Dr. Burger,Zahnarzt,+41 61 271 58 88,Basel
Info@zwbs.ch,zahnwerk_BS Dein Zahnarzt in Basel,Zahnarzt,+41 61 301 13 13,Basel
praxis@zam-basel.ch,Zahnarzt am Margarethenpark – Dr. Stephan Walter & Kollegen,Zahnarzt,+41 61 271 88 20,Basel
zahnarztpraxis-laederach@sso-hin.ch,Zahnarztpraxis Dr. med. dent. V. Laederach,Zahnarzt,+41 61 272 30 20,Basel
info@zahnibasel.ch,Dr. med. dent. Miolin Ines,Zahnarzt,+41 61 281 15 16,Basel
info@zahnarzt-altewaage.ch,"Zahnarztpraxis zur alten Waage, Dr. med. dent. Martin Wüest, Dr. med. dent. Dominik Rychen",Zahnarzt,+41 61 361 48 48,Basel
zahnarzt.wardak@sso-hin.ch,Zahnarztpraxis Dr. med. dent. D. Wardak,Zahnarzt,+41 61 302 00 39,Basel
info@zahnarztpraxis-am-ring.ch,Zahnarztpraxis am Ring,Zahnarzt,+41 61 271 70 10,Basel
maderostar.spa@gmail.com,Exklusive Madero Massage & brasilianische Lymphdrainage in Basel – speziell für Frauen,Schönheitsklinik,+41 76 814 36 44,Basel
dr-siegenthaler@sso-hin.ch,Dres. med. dent. Fabienne Glenz & Alexandra Meier & Thomas Siegenthaler Zahnarztpraxis,Zahnarzt,+41 61 302 18 00,Basel
info@zahnarzt-mahl.ch,Zahnarztpraxis Dr. Mahl AG,Zahnarzt,+41 61 301 62 62,Basel
info@swissestetix.ch,"Ultherapy Basel | Hautstraffung für Gesicht, Hals und Dekolleté",Schönheitsklinik,+41 61 261 58 66,Basel
info@plastische-chirurgie-in-basel.ch,Praxis für Plastische Chirurgie Basel,Klinik für plastische Chirurgie,+41 61 317 40 40,Basel
glowbeautybahar@hotmail.com,Glow Beauty Basel,Schönheitsklinik,+41 76 511 87 30,Basel
info@dr-wirth.ch,WIRTH Plastische Chirurgie,Schönheitsklinik,+41 61 421 77 07,Basel
info@margarethenklinik.ch,Margarethenklinik - Ein Unternehmen des Universitätsspitals Basel,Universitätsklinikum,+41 61 205 56 80,Basel
info@tattoorenaissance.ch,Renaissance Tattooentfernungsstudio,Tätowierungsentfernungs-Service,+41 76 488 64 35,Basel
info@skinbloom-aesthetics.ch,Skinbloom Aesthetics,Schönheitsklinik,+41 78 241 87 04,Basel
info@babyface-cosmetics.com,BabyFace Cosmetics,Schönheitsklinik,+41 79 441 30 18,Basel
info@exodusdental.com,Exodus Dental Care,Zahnarzt,+41 78 676 31 13,Basel
info@praxisjaun.ch,Praxis Jaun - Kieferorthopädie & Kinderzahnmedizin,Kieferorthopäde,+41 61 331 31 10,Basel
info@youseebaern.ch,YOUSEEBASEL-Augenlasern in Basel,Schönheitsklinik,+41 61 633 00 33,Basel
info@artmed.ch,Artmed GmbH,Laser-Haarentfernungs-Service,+41 61 683 30 40,Basel
info@aura-aesthetics.ch,Aura Aesthetics Kosmetikstudio / HydraFacial MD® & Microneedling,Schönheitssalon,+41 79 708 40 00,Basel
hello@regine-reymond.ch,Praxis Dr. Reymond & Reymond,Schönheitsklinik,+41 79 474 69 95,Basel
info@eosclinic.ch,Eosclinic im Bethesda Park - Zahnarztpraxis Dr. Feller,Zahnarzt,+41 61 373 12 12,Basel
info@zahnarzt-stern.ch,Mrs. Dr.med.dent. Myriam Stern,Zahnarzt,+41 61 331 80 55,Basel
klinik@zumgoldenenschnitt.ch,Klinik Zum Goldenen Schnitt AG - Dr. med. Simona Lüdi,Schönheitsklinik,+41 61 386 80 80,Basel
info@medbeautybern.ch,Med. Beauty Bern Kosmetikinstitut,Schönheitsklinik,+41 76 844 68 77,Bern
%20info@zahnarztpraxis-bernwest.ch,Zahnarztpraxis E. Grosschmidt,Zahnarzt,+41 31 991 36 55,Bern
info@zahnarzt-bern-city.ch,City-Zahnarzt Bern,Zahnarzt,+41 31 312 10 01,Bern
praxis.heiniger@bluewin.ch,Dr.med.dent. Ami Heiniger,Zahnarzt,+41 31 981 22 43,Bern
info@dentcenter.ch,"Zahnarzt Bern, Zahnarztpraxis Bern, Dentcenter",Zahnarzt,+41 31 333 66 66,Bern
info@praxis-hirschengraben.ch,Praxis Hirschengraben Zahnmedizin und Dentalhygiene Bern,Zahnarzt,+41 31 381 25 43,Bern
bern.neuengasse@swiss-smile.com,Zahnarzt Bern | Dr. Fabian Jost | swiss smile Zentrum für Zahnmedizin,Zahnarzt,+41 31 511 43 81,Bern
zahn-med.ch@hin.ch,Zahnmedizin im Monbijou - Dr. med. dent. Mariëtte Weijers,Zahnarzt,+41 31 381 88 18,Bern
bern@zahnarztzentrum.ch,"zahnarztzentrum.ch - Zahnarzt, Kieferorthopädie und Dentalhygiene",Zahnarzt,+41 31 326 70 00,Bern
bern.zytglogge@zahnarztzentrum.ch,zahnarztzentrum.ch - Zahnarzt und Dentalhygiene im Zentrum von Bern,Zahnarzt,+41 31 310 04 30,Bern
info@zahnarzt-wymann.ch,Zahnarzt Wymann,Zahnarzt,+41 31 302 00 00,Bern
info@dentalklinikfrei.ch,Dentalklinik Frei,Zahnarzt,+41 31 992 03 33,Bern
madame@beauty-institut.ch,Madame Beauty Institut Bern (Kosmetik / Tattooentfernung / Laser Haarentfernung / Lippen Aufspritzen Faltenunterspritzungen),Schönheitssalon,+41 79 153 32 15,Bern
info@queens-beauty.com,Queen's Beauty World AG Bern,Schönheitsklinik,+41 31 521 71 71,Bern
info@orchimed.ch,"Orchimed Medizinisch-kosmetisches Institut Bern - Sanfte Ästhetik für Hautstraffung, Fettreduktion & Cellulité ohne OP",Schönheitssalon,+41 31 822 00 33,Bern
info@beautyboomstudio.com,Beauty Boom,Schönheitssalon,+41 79 584 48 43,Bern
info@thewayofbeauty.ch,Way of Beauty GmbH,Schönheitsklinik,+41 76 844 34 35,Bern
medikosmetik.luna@gmail.com,Medikosmetik Luna,Schönheitsklinik,+41 76 465 54 44,Bern
info@kiermeir.ch,Plastische Chirurgie Bern - Dr. med. David Kiermeir,Schönheitsklinik,+41 31 301 44 00,Bern
mail@mol.ch,Medic Opti-Line GmbH,Klinik für plastische Chirurgie,+41 31 380 50 50,Bern
mail@centerclinic.ch,CENTERCLINIC,Schönheitsklinik,+41 31 311 58 22,Bern
post@aareklinik.ch,AARE KLINIk,Schönheitsklinik,+41 31 333 01 07,Bern
info@ingoldaesthetics.ch,InGold Aesthetics Bern,Schönheitsklinik,+41 31 558 18 76,Bern
beauty@cosmedx.ch,CosMedx Valeria Sterlacci,Schönheitsklinik,,Bern
praxis@zahnarztbreitenrain.ch,Zahnarztpraxis Breitenrain,Zahnarzt,+41 31 332 99 22,Bern
urs.guthauser@hin.ch,esthetic MedicArt,Plastischer Chirurg,+41 31 329 29 79,Bern
info@beautyhometreatments.ch,Beauty Home Treatments,Schönheitsklinik,+41 79 455 30 24,Bern
info@medicaltravel.net,MedicalTravel GmbH Zahnkorrektur Zahnklinik SchönheitsOP Haartransplantation Türkei Istanbul,Gesundheitsberater,+41 78 737 35 41,Bern
zug@zahnarztzentrum.ch,"zahnarztzentrum.ch - Zahnarzt, Kieferorthopädie und Dentalhygiene",Zahnarzt,+41 41 726 13 80,Zug
info@drkelly.ch,Dr. Kelly® | Plastische Chirurgie und Ästhetik,Klinik für plastische Chirurgie,+41 41 799 70 00,Zug
info@feelyouth.ch,FeelYouth - Praxis für Ästhetische Medizin - Unterägeri,Schönheitsklinik,+41 41 750 75 35,Zug
info@beautyglam.ch,Beautyglam Bodyforming und Fettreduzierung,Schönheitssalon,+41 41 761 37 37,Zug
contact@body-effizienz.ch,Body Effizienz,Schönheitsklinik,+41 78 726 04 67,Zug
venenzentrenschweiz@hin.ch,Venenzentren Schweiz,Gefäßchirurg,+41 41 712 01 11,Zug
info@allaboutbeauty.ch,All About Beauty GmbH,Schönheitssalon,+41 41 740 30 25,Zug
info@ae-med.ch,ae-med® Aesthetische Medizin - Dr. med. Gabriela Rothlin,Schönheitsklinik,+41 79 650 34 54,Zug
info@wellartmedical.ch,Wellart Medical Monika Kunz,Schönheitssalon,+41 41 552 00 67,Zug
info@idune.ch,idune GmbH - Aesthetics & Longevity,Schönheitsklinik,+41 79 218 32 93,Zug
waldshut@dorow-clinic.de,Dorow Clinic Baar,Klinik für plastische Chirurgie,,Zug
drmaas@plastische-chirurgie.ch,Plastische Chirurgie » MAAS AeSTHETICS,Plastischer Chirurg,+41 41 553 71 72,Zug
plastischechirurgie-zug@hin.ch,Plastische Chirurgie Zug,Plastischer Chirurg,+41 41 712 01 11,Zug
plastische-chirurgie-zug@hin.ch,Plastische Chirurgie Zug | Katja Kassem–Trautmann,Plastischer Chirurg,+41 41 727 53 53,Zug
info@katrin-dreissigacker.com,Katrin Dreissigacker - Center for Individual Face Balance,Plastischer Chirurg,+41 41 740 40 40,Zug
kontakt@grandeur-beauty.ch,Grandeur Beauty,Schönheitsklinik,+41 76 390 48 68,Zug
%20info@dr-hashagen.ch,CERISA by Dr. med. Claus Hashagen,Schönheitsklinik,+41 76 269 29 45,Zug
praxis.recoder@sso-hin.ch,Zahnärztliche Familienpraxis Dr. Lea Recoder Zahnärztin SSO,Zahnarzt,+41 41 761 27 41,Zug
hinterbergstrasse@weisszahnarzt.ch,Zahnarztpraxis Walchwil,Zahnarzt,+41 41 758 24 24,Zug
rezeption@marcvogel.ch,Dr. med. dent. Marc Vogel,Zahnarzt,+41 41 750 95 55,Zug
info@zahnarztpraxis-aegerisee.ch,Zahnarztpraxis am Ägerisee,Zahnarzt,+41 41 750 50 59,Zug
info@weisszahnarzt.ch,Weiss Zahnärzte AG,Zahnarzt,+41 41 758 10 45,Zug
rotkreuz@adent.ch,Zahnarzt Rotkreuz | Adent,Zahnarzt,+41 41 566 76 10,Zug
praxis@saxerhaliti.ch,Zahnarztpraxis SaxerHaliti,Zahnarzt,+41 41 750 44 46,Zug
dr.deplazes@sso-hin.ch,Praxis für Kieferorthopädie AG | Dr. med. dent. Deplazes-Suter Pia,Kieferorthopäde,+41 41 781 53 53,Zug
info@razavi.ch,Zahnarztpraxis Dr. med. dent. A. Razavi,Zahnarzt,+41 41 783 04 04,Zug
info@papieri.dental,Zahnpraxis Papieri,Zahnarzt,+41 41 785 60 00,Zug
info@zahnarzt-gartenmann.ch,Dr. med. dent. Gartenmann Stefanie,Zahnarzt,+41 41 780 38 36,Zug
info@stefanellipraxis.ch,Stefanelli Zahnarztpraxis,Zahnarzt,+41 41 783 18 65,Zug
reinisch@sso-hin.ch,Zahnarztpraxis Dr. med. dent. David Reinisch,Zahnarzt,+41 41 783 03 83,Zug
smile@alpinesmiles.ch,Alpine Smiles Lugano - Clinica Dentistica,Dentista,+41 91 970 24 24,Lugano
info@estetica-lugano.ch,Estetica Lugano (EX Evolution Wellness),Centro estetico,+41 76 344 66 41,Lugano
info@lucaballestra.ch,Dr med. Luca Ballestra - chirurgia e medicina estetica,Chirurgo plastico,+41 78 670 71 82,Lugano
info@katyestetica.com,Katy Estetica,Centro estetico,+41 76 316 37 50,Lugano
info@silvere-kosmetik.com,Silveré Beauty Clinic | Centro Estetico Lugano,Centro estetico,+41 78 216 14 24,Lugano
curapercapelli@gmail.com,La Clinica del Capello - CENTRO TRICOLOGICO LUGANO,Clinica per il trapianto di capelli,+41 91 290 27 40,Lugano
info@imehelvetia.com,IME HELVETIA,Centro medico,+41 91 921 33 54,Lugano
info@lacliniqueofswitzerland.ch,LaCLINIQUE of Switzerland,Chirurgo plastico,+41 91 922 73 13,Lugano
maisonclinic22@gmail.com,Maison Clinic Estetica Sartoriale | Estetista Lugano,Centro estetico,+41 91 924 11 22,Lugano
info@smileinstitute.ch,SMILE INSTITUTE Lugano,Dentista,+41 91 923 45 15,Lugano
info@samsaramedical.ch,Samsara Medical Center,Chirurgo plastico,+41 91 921 26 55,Lugano
lu.moor@bluewin.ch,Studio Dentistico Dr. Luca e Andrea Moor,Dentista,+41 91 923 27 12,Lugano
studio.prati.coluccia@sso-hin.ch,Studio dentistico Prati & Coluccia,Dentista,+41 91 971 62 55,Lugano
info@studiodentisticonassa.ch,dr. med. dent. Greco Fabio,Dentista,+41 91 923 39 42,Lugano
info@niodent.ch,Studio dentistico NioDent,Dentista,+41 91 222 61 11,Lugano
segreteria@studidentistici.ch,SD Studi Dentistici - Sede Dr. Cattaneo & Dr. Boschetti,Dentista,+41 91 923 34 22,Lugano
admin@studiomilano.ch,STUDIOMILANO,Dentista,+41 91 942 42 00,Lugano
dr.fraschina@bluewin.ch,dr. Fraschina Fiorenzo - Studio Medico Dentistico a Lugano,Dentista,+41 91 921 01 71,Lugano
monique.wortelboer@hin.ch,Studio di Medicina Estetica Dr. Med. Monique Wortelboer,Chirurgo plastico,+41 79 677 60 80,Lugano
info@drmeoli.ch,"Martino Meoli | Specialista FMH in chirurgia plastica, ricostruttiva ed estetica",Chirurgo plastico,+41 91 972 10 00,Lugano
info@spathira.ch,Spathira | Medicina Estetica Biorigenerativa a Lugano dal 1997,Centro salute e bellezza,+41 91 924 23 10,Lugano
liguori.liguori@gmail.com,Dr.med. Vincenzo Liguori Medici internisti specialisti,Dentista,+41 91 993 21 10,Lugano
info@leandroantonini.ch,Swiss Dental Clinic - Leandro Antonini,Dentista,+41 91 923 10 02,Lugano
info@tinonyffeler.ch,Studio Dentistico Dr.Tino Nyffeler,Dentista,+41 91 922 07 44,Lugano
medijeunesselugano@gmail.com,MEDI CLINIC LUXURY,Chirurgo plastico,+41 91 600 07 07,Lugano
info@diamondmedical.ch,Diamond Medical,Clinica di chirurgia plastica,+41 91 972 10 00,Lugano
contact@dentalcliniclugano.ch,Dental Clinic Lugano,Dentista,+41 91 966 90 00,Lugano
info@lugano-odontoclinic.ch,Lugano Odonto Clinic SA,Dentista,+41 91 922 53 18,Lugano
info@studiobakajortodonzia.ch,Studio Renata Bakaj Ortodonzia,Ortodontista,+41 91 220 02 02,Lugano
